"","Fault Code","Event Description","zoneID"
"Oberon AGC","12208","HELP CALL - STA 6","5"
"Oberon AGC","12209","HELP CALL - STA 7","5"
"Oberon AGC","12210","HELP CALL - UNLOAD STA","5"
"Oberon AGC","12211","HELP CALL - STA 3","5"
"Oberon AGC","12212","HELP CALL - STA 4-5 SUB-ASM","5"
"Oberon AGC","12301","EFLEX FAULT - LOAD STA","5"
"Oberon AGC","12302","EFLEX FAULT - VISION STA","5"
"Oberon AGC","12303","EFLEX FAULT- STA 1","5"
"Oberon AGC","12304","EFLEX FAULT- STA 2","5"
"Oberon AGC","12305","EFLEX FAULT- STA 3","5"
"Oberon AGC","12306","EFLEX FAULT- STA 4","5"
"Oberon AGC","12307","EFLEX FAULT- STA 5","5"
"Oberon AGC","12308","EFLEX FAULT- STA 6","5"
"Oberon AGC","12309","EFLEX FAULT- STA 7","5"
"Oberon AGC","12400","SCHEDULED RUN - START LINE","5"
"Oberon AGC","12401","NO SIGNAL - EFLEX LOAD","5"
"Oberon AGC","12402","NO SIGNAL - EFLEX VISION STA","5"
"Oberon AGC","12403","NO SIGNAL - EFLEX STA 1","5"
"Oberon AGC","12404","NO SIGNAL - EFLEX STA 2","5"
"Oberon AGC","12405","NO SIGNAL - EFLEX STA 3","5"
"Oberon AGC","12406","NO SIGNAL - EFLEX STA 4","5"
"Oberon AGC","12407","NO SIGNAL - EFLEX STA 5","5"
"Oberon AGC","12408","NO SIGNAL - EFLEX STA 6","5"
"Oberon AGC","12409","NO SIGNAL - EFLEX STA 7","5"
"Oberon AGC","12410","NO SIGNAL - UNLOAD STA","5"
"Oberon AGC","12420","NO SERIAL # AT LOAD STA","5"
"Oberon AGC","12421","NO SERIAL # AT STA 1","5"
"Oberon AGC","12422","NO SERIAL # AT STA 2","5"
"Oberon AGC","12423","NO SERIAL # AT STA 3","5"
"Oberon AGC","12424","NO SERIAL # AT STA 4","5"
"Oberon AGC","12425","NO SERIAL # AT STA 5","5"
"Oberon AGC","12426","NO SERIAL # AT STA 6","5"
"Oberon AGC","12427","NO SERIAL # AT UNLOAD STA","5"
"Conveyor Zone 1","12501","STA 11 NOT COMPLETE","6"
"Conveyor Zone 3","12501","STA 47 NOT COMPLETE","8"
"Conveyor Zone 2","12501","REPAIR IN NOT CLEAR","7"
"Conveyor Zone 2","12502","REPAIR OUT NOT CLEAR","7"
"Conveyor Zone 3","12502","STA 51 NOT COMPLETE","8"
"Conveyor Zone 1","12502","CHARGE STA NOT COMPLETE","6"
"Conveyor Zone 1","12503","CHARGE STA NOT COMPLETE","6"
"Conveyor Zone 3","12503","STA 55 NOT COMPLETE","8"
"Conveyor Zone 2","12503","TCI STA 40 NOT COMPLETE","7"
"Conveyor Zone 3","12504","STA 56 NOT COMPLETE","8"
"Conveyor Zone 1","12504","CHARGE STA NOT COMPLETE","6"
"Conveyor Zone 1","12505","CHARGE STA NOT COMPLETE","6"
"Conveyor Zone 3","12505","REPAIR IN/OUT NOT COMPLETE","8"
"Conveyor Zone 1","12506","STA 24 NOT COMPLETE","6"
"Conveyor Zone 1","12507","STA 28 NOT COMPLETE","6"
